dataset,label,language_code,file_path,generator_id,speaker_id,gender,age_group,duration
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000000.flac,,S4259869900354210,Male,30-45,5.729
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000001.flac,,S4259869900354210,Male,30-45,2.808
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000002.flac,,S4259869900354210,Male,30-45,9.619
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000003.flac,,S4259869900354210,Male,30-45,8.653
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000004.flac,,S4259869900354210,Male,30-45,1.1280000000000001
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000005.flac,,S4259869900354210,Male,30-45,1.6
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000006.flac,,S4259869900354210,Male,30-45,2.338
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000007.flac,,S4259869900354210,Male,30-45,10.748
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000008.flac,,S4259869900354210,Male,30-45,9.273
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000009.flac,,S4259869900354210,Male,30-45,5.026
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000010.flac,,S4259869900354210,Male,30-45,6.208
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000011.flac,,S4259869900354210,Male,30-45,5.492
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000012.flac,,S4259869900354210,Male,30-45,6.754
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000013.flac,,S4259869900354210,Male,30-45,5.094
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000014.flac,,S4259869900354210,Male,30-45,7.8970625
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000015.flac,,S4259869900354210,Male,30-45,9.274000000000001
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000016.flac,,S4259869900354210,Male,30-45,5.634
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000017.flac,,S4259869900354210,Male,30-45,5.8870000000000005
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000018.flac,,S4259869900354210,Male,30-45,6.047
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000019.flac,,S4259869900354210,Male,30-45,8.262
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000020.flac,,S4259869900354210,Male,30-45,10.745
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000021.flac,,S4259869900354210,Male,30-45,1.726
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000022.flac,,S4259531400354182,Male,18-30,6.784
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000023.flac,,S4259531400354182,Male,18-30,2.176
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000024.flac,,S4259531400354182,Male,18-30,2.3689999999999998
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000025.flac,,S4259531400354182,Male,18-30,12.16
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000026.flac,,S4259531400354182,Male,18-30,16.96
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000027.flac,,S4259531400354182,Male,18-30,2.6550000000000002
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000028.flac,,S4259531400354182,Male,18-30,7.458
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000029.flac,,S4259531400354182,Male,18-30,10.623
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000030.flac,,S4259531400354182,Male,18-30,9.28
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000031.flac,,S4259531400354182,Male,18-30,1.9849999999999999
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000032.flac,,S4259356200395732,Male,45-60,13.887
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000033.flac,,S4259356200395732,Male,45-60,8.811
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000034.flac,,S4258110900339234,Female,18-30,20.971
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000035.flac,,S4259518200343497,Male,60+,13.341
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000036.flac,,S4258360300325147,Male,18-30,15.178
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000037.flac,,S4258491300332991,Female,45-60,19.179
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000038.flac,,S4256846700337469,Female,30-45,7.36
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000039.flac,,S4256846700337469,Female,30-45,8.128
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000040.flac,,S4256846700337469,Female,30-45,15.998
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000041.flac,,S4256846700337469,Female,30-45,3.424
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000042.flac,,S4256846700337469,Female,30-45,3.711
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000043.flac,,S4256846700337469,Female,30-45,21.856
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000044.flac,,S4256846700337469,Female,30-45,5.25
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000045.flac,,S4256846700337469,Female,30-45,5.152
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000046.flac,,S4256846700337469,Female,30-45,13.357
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000047.flac,,S4257541500335024,Male,30-45,8.543
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000048.flac,,S4257008400384828,Male,30-45,1.516
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000049.flac,,S4257591400387833,Female,45-60,0.87
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000050.flac,,S4256844400337470,Female,45-60,0.398
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000051.flac,,S4258879600399039,Male,30-45,0.655
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000052.flac,,S4258879600399039,Male,30-45,2.08
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000053.flac,,S4258879600399039,Male,30-45,2.25
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000054.flac,,S4258879600399039,Male,30-45,2.713
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000055.flac,,S4258879600399039,Male,30-45,7.43
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000056.flac,,S4258879600399039,Male,30-45,6.707
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000057.flac,,S4258879600399039,Male,30-45,13.735
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000058.flac,,S4258879600399039,Male,30-45,10.591
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000059.flac,,S4258879600399039,Male,30-45,0.634
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000060.flac,,S4258879600399039,Male,30-45,16.876
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000061.flac,,S4258879600399039,Male,30-45,7.557
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000062.flac,,S4256947100330558,Male,60+,2.497
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000063.flac,,S4256947100330558,Male,60+,1.9849999999999999
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000064.flac,,S4256947100330558,Male,60+,0.448
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000065.flac,,S4256947100330558,Male,60+,0.834
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000066.flac,,S4256947100330558,Male,60+,1.558
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000067.flac,,S4256947100330558,Male,60+,1.6019999999999999
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000068.flac,,S4256947100330558,Male,60+,1.7930000000000001
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000069.flac,,S4256947100330558,Male,60+,9.994
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000070.flac,,S4256947100330558,Male,60+,13.503
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000071.flac,,S4256947100330558,Male,60+,8.725999999999999
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000072.flac,,S4256947100330558,Male,60+,7.743
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000073.flac,,S4256947100330558,Male,60+,5.055
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000074.flac,,S4256947100330558,Male,60+,12.641
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000075.flac,,S4256947100330558,Male,60+,6.495
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000076.flac,,S4256947100330558,Male,60+,9.472
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000077.flac,,S4256947100330558,Male,60+,13.887
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000078.flac,,S4256947100330558,Male,60+,10.005
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000079.flac,,S4256947100330558,Male,60+,9.185
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000080.flac,,S4256947100330558,Male,60+,5.632
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000081.flac,,S4258006300335200,Male,30-45,8.522
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000082.flac,,S4259372400301048,Female,30-45,1.596
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000083.flac,,S4259871100394895,Male,60+,23.984
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000084.flac,,S4258294400387536,Male,18-30,4.729
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000085.flac,,S4256893500324915,Female,18-30,0.503
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000086.flac,,S4258101000349230,Female,18-30,8.98
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000087.flac,,S4258890200301075,Female,45-60,19.425
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000088.flac,,S4258689900347318,Male,45-60,11.746
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000089.flac,,S4258037700332736,Female,18-30,9.374
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000090.flac,,S4258037700332736,Female,18-30,12.717
indicvoices,bona_fide,hi,datasets/raw/indicvoices/hi/hi_000091.flac,,S4258037700332736,Female,18-30,7.928
