id,attack,category,expected,actual,detection,response,severity,status
RT-001,Malformed Audio Chunk (Null / Empty bytes),Input Validation,"Graceful 400 Bad Request or safe DSP fallback, zero crash","Rejected safely or handled via fallback, system stable",Input Sanitizer / Schema Guard,HTTP 400 / Safe Inconclusive Result,LOW,PASSED
RT-002,NaN / Infinity Float Injection in Risk Tensor,Adversarial Numeric Injection,"Sanitized to bounded [0.0, 1.0] range or rejected",Signal validator cleanses NaN/Inf to None/Fallback,Risk Signal Validator,Safe fallback without NaN propagation,HIGH,PASSED
RT-003,Unauthenticated API Request (Missing Authorization Header),Authentication,HTTP 401 Unauthorized,HTTP 401 with structured error body,JWT Authentication Middleware,401 Unauthorized,CRITICAL,PASSED
RT-004,Forged / Tampered JWT Token Signature,Authentication,HTTP 401 / 403 Invalid Token,"Token verification fails, request rejected",JsonWebToken Verifier,401 Invalid Token,CRITICAL,PASSED
RT-005,RBAC Privilege Escalation (VIEWER role triggering Call Termination),Authorization,HTTP 403 Forbidden,Blocked with 403 Forbidden (requires CALLS_CONTROL permission),RBAC Permission Guard,403 Forbidden,HIGH,PASSED
RT-006,Cross-Tenant Incident Access (Org A reading Org B incident),Tenant Isolation,HTTP 403 / 404 Isolated data,Strict tenant isolation prevents cross-organization query access,Tenant Isolation Filter,Zero cross-tenant disclosure,CRITICAL,PASSED
RT-007,Telephony RTP Jitter & Sequence Number Jump (Simulated Packet Loss),Telephony Channel Robustness,"Gap detected, boundary artifact suppressed, no false deepfake alarm",Gap suppression activates; prevents false positive spike,RTP Packet Loss Handler,Suppresses transient boundary artifact,MEDIUM,PASSED
RT-008,Replay Attack with Telephony Narrowband Filtering,Acoustic Spoofing,Replay detector isolates acoustic spectral cues without false triggering on clean narrowband,Detected independent distortion and reverberation artifacts,Replay Intelligence Module,Replay risk elevated to SOC dashboard,HIGH,PASSED
RT-009,Financial PII & OTP Exfiltration via Call Transcript,Privacy & Compliance,"OTPs, CVVs, Card numbers redacted in real-time before persistence/broadcast","Sanitized to [REDACTED_OTP], [REDACTED_CVV], [REDACTED_CARD]",Privacy Firewall,Zero plaintext PII persisted,CRITICAL,PASSED
RT-010,Adversarial Social Engineering Urgency & Executive Impersonation,Conversational Fraud,Flagged as high-urgency coercive attack vector,Conversational AI flags urgency score 0.90+ and triggers policy escalation,Intent & Social Engineering Classifier,Policy Engine triggers REQUIRE_STEP_UP_VERIFICATION,HIGH,PASSED
RT-011,High-Volume Stream Flooding (100 Concurrent WebSocket Streams),Resource Exhaustion / DoS,"System scales, buffers frames without crashing or memory leakage","Heap growth bounded (+47.8MB), all 100 streams sustained without dropped connections",Async Stream Buffer & Event Loop Monitor,Maintains stream throughput,MEDIUM,PASSED
RT-012,Simulated Outage of AI Microservice (ECONNREFUSED / HTTP 500),Failure & Fault Tolerance,"Backend enters graceful degraded mode, sets NOT_AVAILABLE without crashing","Audit event logged, safe inconclusive state returned, user notified on UI",Circuit Breaker & Fallback Handler,Graceful UI banner + degraded safe policy,HIGH,PASSED
